Name,Address,Description,Website,Phone,Review star
Paulin's Tire,ME ,"
From the Paulin's Tire website:
We provide Portland, Kennebunk, Biddeford, and Arundel tires and auto service. At Paulin&#39;s Tire and Auto Care, we go the extra mile so you don&#39;t have to. ",http://www.paulinstire.com/,,—
Sell My Car,CA ,"
From the Sell My Car website:
Sell my car San Diego makes it hassle free to sell a car for cash. Call today for a free quote! ",http://sellmycarsandiego.com/,,—
That's My New Car,PA ,"
From the That's My New Car website:
Discover a better way to buy your next vehicle at That's My New Car in Norristown, PA ",http://thatsmynewcar.com/,,—
Volkswagen of Garden Grove, ,"
Volkswagen dealer in Garden Grove, CA that sells new VWs, used cars and VW parts. ",http://www.vwofgardengrove.com,,—
Warranty Direct, ,"
Extended auto warranty companies in Canada, offering car warranties on new and used vehicles. ",http://www.warrantydirect.ca,,—
Cash 4 Car,WA ,"
From the Cash 4 Car website:
Cash For Cars Seattle will purchase cars, trucks, vans and also Suv&#039;s. Our company will come to you&#039;re home or office and purchase your car. ",http://cashforcarsseattle.com,,—
Cash For Cars Escondido,CA ,"
Business offers cash for used cars. ",http://www.cashforcarsescondido.com/,,—
Cash For Cars Las Vegas,NV ,"
From the Cash For Cars Las Vegas website:
Sell Your Car For Fast Cash In Las Vegas. Call Today and Receive A Free Quote For Your Car. ",http://cashforcarslasvegas.com/,,—
Cash For Junk Cars Escondido,CA ,"
Specializes in recycling, and purchasing used or damaged vehicles. ",http://www.cashforjunkcarsescondido.com/,,—
Dent Clinic, ,"
Provides paintless dent removal service to repair minor damage without going to a body shop. ",http://www.dentclinic.com/,,—
Family Car Buyers,CA ,"
Family Car Buyers in California has not provided an about us on their business. ",https://www.familycarbuyers.com/,,—
Interstate Trucksource,MI ,"
Full service Mack and Hino Truck Dealership providing complete truck and trailer service, new and used tractors, straight trucks, vocational, cement mixers, construction, roll-offs, and dump trucks. ",https://www.interstatetrucksource.com/,,—
Rick Hendrick Corvette,GA ,"
Rick Hendrick Corvette in Georgia has not provided an about us on their business. ",http://www.chevroletcorvetteusa.com,,—
Sell That Car.com, ,"
Purchases used vehicles from consumers. Services available nationwide. ",http://www.sellthatcar.com/,,—
We Buy Cars San Diego,CA ,"
Provides car buying services to customers in the San Diego area. ",http://www.webuycarssandiego.org/,,—
Car Blog, ,"
Automotive blog covering new car reviews, driving legislation, car accessories, and sales. ",https://www.carblog.co.uk,,—
"Cheap Car Insurance: Sacramento, California Agent Directory",CA ,"
From the Cheap Car Insurance: Sacramento, California Agent Directory website:
Learn the insurance requirements for Sacramento, California and average insurance quotes. Get a free insurance quote and see offers in your area. ",http://www.cheapcarinsurance.net/sacramento-california-car-insurance.html,,—
JunkCars.com, ,"
Offers cash for junk cars. Online and call centers are available. ",http://www.junkcars.com/,,—
Meineke Oil Change & Car Maintenance Location Directory, ,"
Offers a search for a Meineke location for a fast, friendly and affordable car maintenance service and oil changes. ",https://www.meineke.com/locations/,,—
Remarket.ca, ,"
National network of independently owned and operated facilities offering customized vehicle remarketing solutions. ",http://www.remarket.ca,,—
401 Trucksource,CA ,"
From the 401 Trucksource website:
401 Trucksource Group Inc. is a network of full service heavy-duty truck centers conveniently located across the international truck route from Windsor Ontario to Romulus Michigan. We sell and services trucks from major manufacturers such as Mack, Volvo, and GMC. ",https://www.401trucksource.com/,,—
AutoFirst, ,"
From the AutoFirst website:
Search from 1000s of cars today and take the first step towards a better journey. Autoworld lets you specify the exact car that you are looking for. ",http://www.autofirst.co.za,,—
Bill Dube Hyundai,MA ,"
Bill Dube Hyundai in Massachusetts has not provided an about us on their business. ",http://www.billdubehyundai.com,,—
Cars, ,"
From the Cars website:
Buying a new or used car online is simple with Cars.co.za - South Africa&#039;s leading car advertising website, with thousands of new and second hand cars for sale countrywide. ",http://www.cars.co.za,,—
CarsForCash.com, ,"
Offers cash for cars with free pick up. ",http://www.carsforcash.com/,,—
Cash For Cars Oceanside,CA ,"
From the Cash For Cars Oceanside website:
Cash For Cars Oceanside helps people sell a car in Oceanside, and also neighboring areas. Our company offers a fast, free quote for your car. Call now for a free appraisal. ",http://cashforcarsoceanside.com/,,—
Cash For Clunkers, ,"
Offers information on company that purchases used cars from the public and haul the vehicle away free of charge. ",http://www.cashforclunkers.net/,,—
Cash For Junk Cars Oceanside,CA ,"
Cash For Junk Cars Oceanside in California has not provided an about us on their business. ",http://www.cashforjunkcarsoceanside.com/,,—
Euro DB Automotive, ,"
Euro DB Automotive has not provided an about us on their business. ",http://www.eurodb.com.au,,—
Ezee Wheelz, ,"
Used car dealer offering a searchable online inventory of vehicles and financing information. ",https://www.ezeewheelz.com,,—
FIAT of Huntsville,AL ,"
FIAT of Huntsville in Alabama has not provided an about us on their business. ",http://www.fiatusaofhuntsville.com,,—
Group1 Nissan, ,"
From the Group1 Nissan website:
New Nissan vehicles and a wide selection of used vehicles available from our showrooms in Cape Town, Stellenbosch, Uitenhage and Johannesburg. ",https://www.group1nissan.co.za/,,—
Jewell Tyres, ,"
From the Jewell Tyres website:
Australia&#039;s leading independent OTR tyre dealer. We trade in new &amp; used tyres, across all major brands &amp; sizes. Service. Reliability. Timeliness ",http://www.jewelltyres.com.au,,—
John Hughes Online, ,"
From the John Hughes Online website:
John Hughes are WA&#x27;s most trusted car dealership and mechanical service provider. We&#x27;re the place to go to find the best new and used cars in Perth. ",http://www.johnhughes.com.au,,—
Landers McLarty Subaru,AL ,"
Landers McLarty Subaru in Alabama has not provided an about us on their business. ",http://www.landersmclartysubaru.net/,,—
Mark Douglas Motorworks,CA ,"
Mark Douglas Motorworks in California has not provided an about us on their business. ",http://www.markdouglasmotorworks.com,,—
TS Export, ,"
From the TS Export website:
Import Cars, Parts, Half Cuts, Front Cuts, Trucks, Forklifts, Machinery, Tractors, Motorhomes, Buses, Motorbikes, Boats & Jetskis. Source from Auctions, Dealers, Wholesalers and directly from End Users throughout Japan. No Exporter From Japan offers you more choice. ",http://www.TS-EXPORT.com,,—
Ultimate Brake and Clutch, ,"
From the Ultimate Brake and Clutch website:
Clutch Kits Australia specialise in supplying high quality Exedy clutch kits online to car enthusiasts across Australia. ",http://www.clutch-kits-australia.com,,—
VanSat, ,"
From the VanSat website:
VANSAT is Australia's most popular satellite provider. We offer portable mobile satellite TV and internet kits for Australian Caravan, Motorhome and marine. ",http://www.vansat.com.au/,,—
A+ Japanese Auto Repair Inc.,CA ,"
Family owned and operated auto repair shop in San Carlos, CA. Services most clients from Belmont, San Carlos, Foster City, Redwood Shore, Redwood City, Menlo Park, and San Mateo. ",https://www.aplusjapaneseautorepair.com/,,—
Buy Here Pay Here,KY ,"
From the Buy Here Pay Here website:
Grab the best deal possible on a buy here pay here car, truck, or SUV in Louisville KY. We&#039;re local and convenient and can finance most buyers. ",http://bhphcarguys.com,,—
Chrysler, ,"
From the Chrysler website:
View Our Range Of Signature Chrysler Vehicles Featuring Style With Unsurpassed Performance and Innovation. Request A Brochure Or Book A Test Drive Today!/r/n ",http://www.chrysler.com.au,,—
Derek Brown's Academy of Driving, ,"
From the Derek Brown's Academy of Driving website:
Tired of waiting for the bus? Come to the friendliest driving school in Calgary. We make learning to drive easy and stress-free. ",http://www.bestcalgarydrivingschool.com,,—
Dominion Auto Glass, ,"
From the Dominion Auto Glass website:
Calgary&#039;s best windshield repair and replacement specialist of glass for automobiles, machinery, RVs, and Marine Craft for all makes and models. ",https://www.dominionautoglass.ca/,,—
Haloid Fleet,"7 FLOWERFIELDSUITE 24ST. JAMES, NY 11780","
Buyer of former fleet vehicles from companies and government agencies ",http://HaloidFleet.com,(631) 762-3700,—
Hi Lo Auto Sales,MD ,"
Offers used cars for sale in Frederick, MD. ",http://www.hiloautosales.com,,—
K and M Auto Service,OR ,"
From the K and M Auto Service website:
K&amp;M Auto Service shops in the Portland area are family owned and operated full service auto repair shops and service centers located in Portland, OR and Portland, OR. Our auto repair mechanics deliver high-quality service to the Portland, OR area. ",http://www.kandmautoservice.com/,,—
NeedTags,CA ,"
Provides a way to register a vehicle faster online or find local, no line, no hassle DMV registration offices. ",https://www.needtags.com/,,—
SmogTips,CA ,"
Provides free government assistance programs and much more related to the smog check in California. ",http://www.smogtips.com,,—
Truck & Trailer, ,"
From the Truck & Trailer website:
Find a wide range of trucks, trailers, heavy machinery and more for sale in South Africa on Truck &amp; Trailer. SA&#39;s leading commercial equipment marketplace. ",http://www.truckandtrailer.co.za/,,—
Canada Tire Doctors, ,"
From the Canada Tire Doctors website:
Tire Doctors is a mobile tire changing service for residential and commercial clients. Our services can be performed right at your home or work site. Book now! ",http://tiredoctors.com,,—
Clutch & Brake Doctors,OR ,"
From the Clutch & Brake Doctors website:
MotorCar Doctor is your first choice for the best auto repair in Beaverton, OR! Schedule an appointment today by calling 503-626-4810 or contacting us online!  ",http://www.clutchdoctor.com,,—
Mitsubishi Motors, ,"
From the Mitsubishi Motors website:
Mitsubishi Motors Australia has a range of vehicles to suit all applications. With more than 100 years of innovation, we look to the future of automotive solutions with confidence. Learn about our range of vehicles and business solutions. ",http://www.mitsubishi-motors.com.au/,,—
We Buy Cars,CA ,"
From the We Buy Cars website:
We Buy Cars, Trucks, SUVs, Classics and Commercial Vehicles Nationwide Get Fast Cash Now. Friendly, Courteous Service at Your Home or Office since 1980. ",https://www.webuycars.com/,,—
Best Choice Automotive, ,"
Auto repair facility in Edmonton has nine automotive service bays and provides maintenance and fixes for all types of cars. ",https://www.bestchoiceautomotiveltd.com/,,—
Eurotekk Automotive and Performance, ,"
Edmonton European auto repair shop works on BMWs, Audis, and Mercedes offering repair, maintenance, and customization. ",https://www.eurotekk.ca/,,—
Robertson Bodyworks, ,"
Auto body shop in Edmonton offers dent repair, glass replacement, and auto painting. ",https://www.robertsonbodyworks.com/,,—
Carswanted, ,"
From the Carswanted website:
Sell your car fast with Cars Wanted&#039;s car buying service. We offer a safe, fast and convenient way to sell your car. We&#039;ll buy your used vehicle today and pay when you hand us the keys. ",http://www.carswanted.com.au/,,—
TDot Performance, ,"
Canada auto parts and accessories. Specialties include floor mats, exhaust systems, brakes, intakes, tires, wheels and tonneau covers. ",https://www.tdotperformance.ca,,—
Car Detailing Pittsburgh,PA ,"
From the Car Detailing Pittsburgh website:
Chuck's Mobile Car Detailing Pittsburgh Offers Interior &amp; Exterior Auto Detail Services Plus Ceramic Coating, Paint Correction, &amp; AMSOIL products. ",https://mobilecardetailpittsburgh.com/,,—
Caravan Services, ,"
 From the Caravan Services website:
Brisbane&#39;s most trusted caravan repairer, we&#39;re an approved RACQ Selected Repairer with a big range of caravan accessories. Caravan servicing and maintenance. Custom caravan modifications and renovations. Buy caravan accessories online or visit our repair centre. Phone 07 3209 5044 M-F 7:30am-5pm, Sat 9am - 1pm. ",http://www.caravanservices.com.au,,—
Klosters, ,"
From the Klosters website:
Here at Klosters, we are passionate providing our customers with quality vehicles in Hamilton. View our range today! ",http://www.klosters.com.au,,—
GoTech Appliance Repair Fort Saskatchewan, ,"
Highlights the appliance repair services offered by this company to residents of Fort Saskatchewan and the surrounding area. Offering a full range of repair services for all major appliances, including refrigerators, gas stoves and washing machines, from experienced and skilled technicians. ",https://gotechappliancerepairs.ca/fort-saskatchewan-appliance-repair/,,—
Alpha & Omega Independent Car Repair,"2555 49th St.Boulder, CO 80301","
Alpha & Omega Independent Car Repair in Boulder, CO, offers exceptional repair and maintenance services for Audi, BMW, VW, Toyota, Nissan, Subaru, Acura, Lexus, and MINI vehicles. ",,(303) 447-2439,—
Auto Appraisal Group,"1441 Sachem PlCharlottesville, VA 22901","
Auto Appraisal Group offers a nationwide network of certified professional vehicle appraisers to help with all your auto appraisal needs, including pre-purchase inspections, total loss appraisals and diminished value claim appraisals, antique car values ",,(800) 848-2886,—
Imperial Auto Body,"690 Lofstrand LnRockville, MD 20850","
Certified gold status I-Car shop serving Rockville, MD and the surrounding communities, and all technicians are certified I-Car Platinum
From the Imperial Auto Body website:
When you need auto body repair in the Rockville MD area, call us at (301) 354-9803. Unclaimed: Claim this business
",,,4.9
Low T Center,"5425 Landmark PlSuite 105Greenwood Village, CO 80111","
Low T Center ",,(720) 445-5698,—
TJ Motors,"308 Broad StNew London, CT 6320","
Used car sales and service at Connecticut ",,(860) 443-6301,5.0
Mossy Nissan National City,"2700 National City BlvdNational City, CA 91950","
Mossy Nissan has a LARGE selection of new Nissans and quality used vehicles in San Diego. Mossy Nissan offers vehicles with better quality, better safety features and better innovation. So call us today or come see us in person! We have seven convenient locations to choose from: Chula Vista, El Cajon, Escondido, Kearny Mesa, National City, Oceanside and Poway!
Mossy… Unclaimed: Claim this business
",,(619) 502-9035,—
Netclues,"411 Frank E Rodgers Blvd NHarrison, NJ 7029","
Netclues ",,(801) 505-9944,—
Big Brand Tire & Service - Menifee,"26920 Newport RdMenifee, CA 92584","
Big Brand Tire & Service offers a long list of top-rated services, including alignments, brakes, oil changes, suspension, custom lifting, or lowering of your vehicle. We are recognized as the best auto repair, highly skilled, and knowledgeable to work on cars of different models. Visit our website to get a free quote today. ",,(951) 679-6266,—
,CA ,"
Provides installation of custom made truck beds and equipment including pick-up conversion and upgrading. Unclaimed: Claim this business
",,,
,OK ,"
Trailer dealer informs general overview of the company and its products. Unclaimed: Claim this business
",,,
, ,"
An online list of new and used car dealers in Belleville and surrounding areas. Unclaimed: Claim this business
",,,
,CA ,"
Porsche 928 parts and accessories. Unclaimed: Claim this business
",,,
,OK ,"
Offers service and quality used parts for automotives since 1989. Unclaimed: Claim this business
",,,
,WA ,"
Provides transmission auto repair service and offers location, online quotes, location map and directions. Unclaimed: Claim this business
",,,
, ,"
Automotive business offering a range of parts from wrecked local trucks, imported engines and parts, diffs, axles, cabins and associated parts. Unclaimed: Claim this business
",,,
,WA ,"
Provides Honda and Acura service and repair. Includes company details, map and contacts. Unclaimed: Claim this business
",,,
,CA ,"
Find auto repair service information, including customer special offers, testimonials, location and appointment booking. Unclaimed: Claim this business
",,,
,CA ,"
Services Volvo automobiles and includes an overview of the shop and staff. Unclaimed: Claim this business
",,,
,CA ,"
Advertises protective gears for riders. Contains a catalog and price list of items for sale. Unclaimed: Claim this business
",,,
, ,"
New and used automobile dealer and collision repair centre. Highlights the current vehicles available along with new models and finance options. Unclaimed: Claim this business
",,,
,CA ,"
Provides a selection of new and pre-owned vehicles, online specials, parts, services, research and financing tools, and contact information. Unclaimed: Claim this business
",,,
,IL ,"
Automotive and truck repair services offered with details of expertise, specials and hours of operation. Unclaimed: Claim this business
",,,
, ,"
Auto tire repair, replacement and fitting centre providing online quotes and a location map. Unclaimed: Claim this business
",,,
, ,"
Selling a range of quality used cars and vehicles with stock details and a location map. Unclaimed: Claim this business
",,,
, ,"
An accredited auto body shop providing examples of its vehicle repairs with online repair status facilities. Unclaimed: Claim this business
",,,
,TN ,"
Source for tire sales, auto service and repair, and wheel balances and alignment. Unclaimed: Claim this business
",,,
AMP EFI,"2405 Murphy BlvdGainesville, GA 30504","
When you want to squeeze every ounce of extra power out of your ride, you want DIY AutoTune. Founded in 2004, the company offers everything needed to integrate your own fully programmable engine management system with a wide range of engines, whether you drive a stock Miata or a highly customized street rod. Check out innovative plug-and-play options, like the… Unclaimed: Claim this business
",,(678) 261-8789,—
,CA ,"
Features hours of operation, current specials, contacts and an outline of automotive services. Unclaimed: Claim this business
",,,
, ,"
Vehicle salvage yard selling used mechanical and electrical parts with more than 18,000 parts in stock. Search, find and order online. Unclaimed: Claim this business
",,,
,MD ,"
Details and information on vehicles, service and parts. Unclaimed: Claim this business
",,,
,AR ,"
Store based n Hartman Arkansas. Gives the hours, the location, contacts, and a parts search. Unclaimed: Claim this business
",,,
,CA ,"
Offers repair services for Japanese automobiles, including Toyota, Honda, Acura, Nissan, Mazda, Subaru, Lexus and Infiniti models. Unclaimed: Claim this business
",,,
,FL ,"
Provides auto repairs. Includes services, staff profiles, and company profile. Unclaimed: Claim this business
",,,
,GA ,"
Mercedes-Benz service and sales specialist. With online guide to various Mercedes Benz models, direction to the shop and contact information. Unclaimed: Claim this business
",,,
,MD ,"
Reports auto sales, service and repair, and auto rentals. Unclaimed: Claim this business
",,,
,CO ,"
Offers a statewide listing of new and pre-owned automotive dealers. Unclaimed: Claim this business
",,,
